#cor phi r a0 a1 a2 a3 a4
0 0 0 0.00160666177101 -2.87135088278e-06 -1.90511562038e-09 -2.94823031012e-12 4.08634329145e-14
0 0 1 4.28706467878e-07 -5.98969190525e-09 3.65916039439e-11 5.69325325065e-14 -1.19384525805e-15
0 0 2 -1.09223594789e-09 1.63479603681e-11 -4.70499770208e-14 -6.68392914921e-16 6.38031921758e-18
0 1 0 0.00160926620683 -2.80282920167e-06 -2.3786095735e-09 -7.04851992866e-12 5.72707497873e-14
0 1 1 3.41415056836e-07 -7.56606033384e-09 5.14493261924e-11 1.75586987429e-13 -1.76414303525e-15
0 1 2 -6.67798786922e-10 2.70560555243e-11 -1.50648094948e-13 -1.21983824689e-15 9.24876488136e-18
0 2 0 0.00160409466354 -2.77579613971e-06 -1.36622908195e-09 -9.85460670616e-12 3.41649349915e-14
0 2 1 3.6676059688e-07 -6.4535951291e-09 2.06000183566e-11 2.22160661917e-13 -1.10444716837e-15
0 2 2 -8.00174730309e-10 2.00284182288e-11 -1.64386069672e-14 -1.17572165138e-15 5.08880714966e-18
0 3 0 0.00160701149132 -2.81992153912e-06 -1.28162790335e-09 -6.91951676143e-12 2.94156629368e-14
0 3 1 1.20490204124e-07 -3.90872309882e-09 1.80681004984e-11 1.64202763786e-13 -1.08607419846e-15
0 3 2 4.57331288281e-10 9.5557946115e-12 -5.08672609863e-14 -6.90483293501e-16 4.74232204356e-18
0 4 0 0.00160682889922 -2.83121733e-06 -1.33479548742e-09 -8.64710745124e-12 3.98754183991e-14
0 4 1 4.46726991089e-08 -1.36763388761e-09 -6.49343335839e-12 1.83374841351e-13 -7.67948152173e-16
0 4 2 5.55302518448e-10 -5.58269857541e-13 6.77365130241e-14 -5.37968856874e-16 1.67888916792e-18
0 5 0 0.00160826948143 -2.8702048973e-06 -8.6443888642e-10 -7.65431680004e-12 2.99739912028e-14
0 5 1 -1.34895016109e-07 1.3235456333e-09 -2.06560258915e-11 1.6291022578e-13 -5.71381171978e-16
0 5 2 1.10063694215e-09 -8.26226770232e-12 8.53273778003e-14 -3.68629872606e-16 1.03309099401e-18
0 6 0 0.0016058074182 -2.8845742451e-06 -7.11115461522e-10 -7.70698380993e-12 3.40541687295e-14
0 6 1 -2.6386224042e-07 3.37949389432e-09 -2.81360845479e-11 1.60802389508e-13 -5.51485631236e-16
0 6 2 1.44400534025e-09 -1.30718521148e-11 8.92972653361e-14 -3.13999602032e-16 8.78189031147e-19
0 7 0 0.00161583943213 -2.97484597872e-06 -1.38812096524e-09 -6.6095359402e-12 5.93693481049e-14
0 7 1 -4.81623178722e-07 5.55322838737e-09 -2.73303750415e-11 1.54540809972e-13 -7.5171016786e-16
0 7 2 1.92031504676e-09 -1.77025102595e-11 8.35468343787e-14 -2.85383603342e-16 1.29318485947e-18
0 8 0 0.00161420627395 -2.94642148933e-06 -9.74828434999e-10 -8.27485606483e-12 4.98769269317e-14
0 8 1 -5.27904145455e-07 6.13925000742e-09 -3.30049703261e-11 1.59309389938e-13 -6.35153908481e-16
0 8 2 2.0216221801e-09 -1.89983439428e-11 9.1009737062e-14 -2.73686662102e-16 1.04987241207e-18
1 0 0 0.00140170213024 -2.99404846356e-06 1.86834650339e-09 -3.17057422683e-11 1.22190806973e-13
1 0 1 -4.44417425278e-06 5.21542733048e-09 3.41033400858e-10 -2.80354542898e-13 -5.00745933108e-15
1 0 2 1.20728334777e-07 -3.88966186549e-11 -1.15429250595e-11 6.49355751664e-15 1.89264678635e-16
1 1 0 0.00136766169331 -2.93541717027e-06 4.64707109407e-09 -3.46892426029e-11 7.95397519545e-14
1 1 1 7.81606932377e-07 -1.48947625449e-08 -3.4653053556e-11 5.66407127902e-13 -1.17134848307e-15
